geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
WP327	GPCRs class C metabotropic glutamate pheromone	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP327&label[]=Gabbr2&label[]=Grm4&label[]=Grm5&label[]=Grm6&label[]=Grm7&colors=steelblue	15	5	1.0671674768007071	4.6853002070393375	0.002925446128354178	0.4730775249186065	108071;268934;108073;108072;242425	Gabbr2;Grm4;Grm5;Grm6;Grm7
WP1266	SIDS susceptibility pathways	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1266&label[]=Ar&label[]=Ctcf&label[]=Ece1&label[]=Il6ra&label[]=Nfkb1&label[]=Nkx2-2&label[]=Ppargc1a&label[]=Ppargc1b&label[]=Ryr2&label[]=Vipr1&colors=steelblue	59	10	4.197525408749447	2.3823560374776296	0.007905770114639075	0.4730775249186065	13018;20191;19017;170826;22354;230857;11835;16194;18033;18088	Ar;Ctcf;Ece1;Il6ra;Nfkb1;Nkx2-2;Ppargc1a;Ppargc1b;Ryr2;Vipr1
WP113	TGF beta signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP113&label[]=Inhba&label[]=Lef1&label[]=Mapk3&label[]=Mapk9&label[]=Nfkb1&label[]=Runx3&label[]=Smad2&label[]=Smad9&label[]=Stat1&colors=steelblue	52	9	3.6995139195757845	2.4327520305781176	0.010050224657171715	0.4730775249186065	55994;26420;16842;26417;12399;18033;16323;17126;20846	Inhba;Lef1;Mapk3;Mapk9;Nfkb1;Runx3;Smad2;Smad9;Stat1
WP63	Pentose phosphate pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP63&label[]=Pgls&label[]=Rpe&label[]=Taldo1&colors=steelblue	7	3	0.4980114891736633	6.023957409050577	0.010065479253587372	0.4730775249186065	66171;66646;21351	Pgls;Rpe;Taldo1
WP572	EGFR1 signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP572&label[]=Abi1&label[]=Araf&label[]=Casp9&label[]=Ceacam1&label[]=Ctnnd1&label[]=Dok2&label[]=Eps15&label[]=Eps8&label[]=Grb14&label[]=Hip1&label[]=Kras&label[]=Mapk3&label[]=Prkd1&label[]=Ptprr&label[]=Smad2&label[]=Socs3&label[]=Stat1&label[]=Vav3&label[]=Ywhab&colors=steelblue	175	19	12.450287229341582	1.5260692102928128	0.04073687435868639	0.8974123320886516	16653;50915;20846;18760;57257;26417;19279;54401;12702;13449;13858;13860;11308;26365;215114;12388;12371;17126;11836	Abi1;Araf;Casp9;Ceacam1;Ctnnd1;Dok2;Eps15;Eps8;Grb14;Hip1;Kras;Mapk3;Prkd1;Ptprr;Smad2;Socs3;Stat1;Vav3;Ywhab
WP1261	ErbB signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1261&label[]=Araf&label[]=Areg&label[]=Cdkn1a&label[]=Nrg1&label[]=Nrg3&label[]=Pik3r5&label[]=Tgfa&colors=steelblue	46	7	3.2726469288555013	2.138941398865785	0.04189506513192469	0.8974123320886516	320207;211323;11836;11839;21802;18183;12575	Araf;Areg;Cdkn1a;Nrg1;Nrg3;Pik3r5;Tgfa
WP300	Histone modifications	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP300&label[]=Ehmt1&label[]=Hdac2&colors=steelblue	5	2	0.35572249226690233	5.6223602484472055	0.04370015762754901	0.8974123320886516	15182;77683	Ehmt1;Hdac2
WP2902	p53 signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2902&label[]=Apaf1&label[]=Bbc3&label[]=Casp9&label[]=Ccng1&label[]=Cdkn1a&label[]=Chek1&label[]=Cycs&label[]=Ddb2&label[]=Sesn2&colors=steelblue	67	9	4.766681396376492	1.8881060535830165	0.04601655700157434	0.8974123320886516	12649;12575;170770;13063;11783;12371;107986;230784;12450	Apaf1;Bbc3;Casp9;Ccng1;Cdkn1a;Chek1;Cycs;Ddb2;Sesn2
WP434	TCA cycle	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP434&label[]=Idh3g&label[]=Mdh1&label[]=Pdk3&label[]=Sdhc&label[]=Sucla2&colors=steelblue	31	5	2.2054794520547945	2.267080745341615	0.06517823353817075	0.8974123320886516	17449;15929;66052;20916;236900	Idh3g;Mdh1;Pdk3;Sdhc;Sucla2
WP1496	Oxidative damage response	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1496&label[]=Apaf1&label[]=Casp9&label[]=Cdkn1a&label[]=Cycs&label[]=Nfkb1&label[]=Nfkbie&colors=steelblue	41	6	2.9169244365885993	2.056961066505075	0.06753634650769093	0.8974123320886516	11783;12575;13063;18037;18033;12371	Apaf1;Casp9;Cdkn1a;Cycs;Nfkb1;Nfkbie
